khu_vuc,dan_so,dien_tich
TP Hồ Chí Minh,8993082,2061.0
Hà Nội,8053663,3358.9
Thanh Hóa,3640128,11114.7
Nghệ An,3327791,16493.7
Đồng Nai,3097107,5905.7
Bình Dương,2426561,2694.7
Hải Phòng,2028514,1522.5
An Giang,1908352,3536.7
Hải Dương,1892254,1668.2
Dak Lak,1869322,13030.5
Thái Bình,1860447,1570.5
Bắc Giang,1803950,3851.4
Nam Định,1780393,1668.0
Tiền Giang,1764185,2510.5
Kiên Giang,1723067,6348.8
Long An,1688547,4490.2
Đồng Tháp,1599504,3383.8
Gia Lai,1513847,15510.8
Quảng Nam,1495812,10574.7
Bình Định,1486918,6066.2
Phú Thọ,1463726,3534.6
Bắc Ninh,1368840,822.7
Quảng Ninh,1320324,6177.7
Lâm Đồng,1296906,9783.2
Hà Tĩnh,1288866,5990.7
Bến Tre,1288463,2394.6
Thái Nguyên,1286751,3536.4
Hưng Yên,1252731,930.2
Sơn La,1248415,14123.5
TP Cần Thơ,1235171,1439.2
Quảng Ngãi,1231697,5135.2
Khánh Hòa,1231107,5137.8
Bình Thuận,1230808,7812.8
Sóc Trăng,1199653,3311.8
Cà Mau,1194476,5294.8
Tây Ninh,1169165,4041.4
Vĩnh Phúc,1151154,1235.2
Bà rịa Vũng Tàu,1148313,1980.8
Tp Đà Nẵng,1134310,1284.9
Thừa Thiên Huế,1128620,5048.2
Vĩnh Long,1022791,1475.0
Trà Vinh,1009168,2358.2
Bình Phước,994679,6877.0
Ninh Bình,982487,1387.0
Bạc Liêu,907236,2669.0
Quảng Bình,895430,8065.3
Phú Yên,872964,5023.4
Hà Giang,854679,7929.5
Hòa Bình,854131,4591.0
Hà Nam,852800,860.9
Yên Bái,821030,6887.7
Tuyên Quang,784811,5867.9
Lạng Sơn,781655,8310.2
Hậu Giang,733017,1621.8
Lào Cai,730420,6364.0
Quảng Tri,632375,4739.8
Dak Nông,622168,6509.3
Điện Biên,598856,9541.0
Ninh Thuận,590467,3355.3
Kon Tum,540341,9674.2
Cao Bằng,530341,6700.3
Lai Châu,460196,9068.8
Bắc Kan,313905,4859.96
